Location,Category
Abila Airport,Work
Abila Scrapyard,Work
Abila Zacharo,F&B
Ahaggo Museum,Life
Albert's Fine Clothing,Life
Bean There Done That,F&B
Brewed Awakenings,F&B
Brew've Been Served,F&B
Carlyle Chemical Inc.,Work
Chostus Hotel,Life
Coffee Cameleon,F&B
Coffee Shack,F&B
Daily Dealz,Life
Desafio Golf Course,Life
Frank's Fuel,Life
Frydos Autosupply n' More,Work
Gelatogalore,F&B
General Grocer,Life
Guy's Gyros,F&B
Hallowed Grounds,F&B
Hippokampos,F&B
Jack's Magical Beans,F&B
Kalami Kafenion,F&B
Katerina’s Café,F&B
Kronos Mart,Life
Kronos Pipe and Irrigation,Work
Maximum Iron and Steel,Work
Nationwide Refinery,Work
Octavio's Office Supplies,Work
Ouzeri Elian,F&B
Roberts and Sons,Life
Shoppers' Delight,Life
Stewart and Sons Fabrication,Work
U-Pump,Life
